id,title,url
152,"One BIG Secret to Urban Sketching | Drawing (8 min)",https://youtube.com/watch?v=cjW28jx_s70&list=WL&index=152&pp=gAQBiAQB
153,"VEGAN RAMEN RECIPES | Spicy Tan Tan | Coconut Chili | Peanut Satay | Chickpea Miso (ビーガンラーメンレシピ)",https://youtube.com/watch?v=NmH7XzvuaAI&list=WL&index=153&pp=gAQBiAQB
154,"How to Get Rid of Muscle Knots in Traps, Shoulder & Back in 90 seconds",https://youtube.com/watch?v=23ZWC5EgdLs&list=WL&index=154&pp=gAQBiAQB
155,"Why Everyone Should Do Burpees - And Their Amazing Variations!",https://youtube.com/watch?v=UzfurkR8BmQ&list=WL&index=155&pp=gAQBiAQB
156,"SIMPLE C4D + Redshift ACES to After Effects Workflow",https://youtube.com/watch?v=Td_8YJnPeaU&list=WL&index=156&pp=gAQBiAQB
157,"How to Quickly Sketch People and Cyclists | Real Time | Urban Sketching Watercolor",https://youtube.com/watch?v=SDs8nikkIGU&list=WL&index=157&t=916s&pp=gAQBiAQB
158,"Pharrell and Vince Staples Trade Game On Creativity vs Artificial Intelligence",https://youtube.com/watch?v=xtnEAjAJ3jo&list=WL&index=158&pp=gAQBiAQB
159,"5 After Effects Tools You Don't Use...But You Should!",https://youtube.com/watch?v=cepYy5HFbbo&list=WL&index=159&pp=gAQBiAQB
160,"Fast Character Modeling with the Skin Modifier in Blender",https://youtube.com/watch?v=DAAwy_l4jw4&list=WL&index=160&pp=gAQBiAQB
161,"Creatively Using Text Animators in After Effects",https://youtube.com/watch?v=plbsdkRhy8g&list=WL&index=161&pp=gAQBiAQB
162,"How To Sketch Landscapes: Tutorial",https://youtube.com/watch?v=_e6wTOuJ20M&list=WL&index=162&pp=gAQBiAQB
163,"A Brief Guide to Perspective // Urban Sketching for Beginners",https://youtube.com/watch?v=BjSJCMeH_8I&list=WL&index=163&pp=gAQBiAQB
164,"DRAW FACES your way - Sketchbook tour edition ✨",https://youtube.com/watch?v=g4J_r1lHvbQ&list=WL&index=164&pp=gAQBiAQB
165,"How to sketch a FACE in 7 steps!",https://youtube.com/watch?v=xyzH-xbPcII&list=WL&index=165&pp=gAQBiAQB
166,"Animation Basics in 14 Minutes (6 Big ideas for beginners)",https://youtube.com/watch?v=pF--YKCCUMw&list=WL&index=166&t=666s&pp=gAQBiAQB
167,"The Rise Of The Value Creator (A Career Path For Polymaths & Self-Improvers)",https://youtube.com/watch?v=RuFjY1MV4LM&list=WL&index=167&pp=gAQBiAQB
168,"How to Become the Best at What You Do",https://youtube.com/watch?v=3VObgeA5Ayk&list=WL&index=168&pp=gAQBiAQB
169,"How I Sketch Cars from Observation in Simple Pen & Ink Style (tutorial)",https://youtube.com/watch?v=7stn2w1-DKw&list=WL&index=169&pp=gAQBiAQB
170,"6 Easy 15-Minute Japanese Breakfast Recipes | 1-Minute Miso Soup Recipe | Easy Rice Ball Recipes",https://youtube.com/watch?v=p3GBYdLO28I&list=WL&index=170&t=666s&pp=gAQBiAQB
171,"How to Draw ANYTHING Using Simple Shapes",https://youtube.com/watch?v=-6F5q_5HC3o&list=WL&index=171&pp=gAQBiAQB
172,"INFLATED 3D TEXT IN BLENDER [Tutorial]",https://youtube.com/watch?v=ObiestNljsI&list=WL&index=172&pp=gAQBiAQB
173,"How to Draw Ellipses and Wheels - 3 Simple Key Steps",https://youtube.com/watch?v=NC2lWtXcy6k&list=WL&index=173&pp=gAQBiAQB
174,"The Best Way to Practice DRAWING",https://youtube.com/watch?v=kNQCP3CtHvI&list=WL&index=174&t=157s&pp=gAQBiAQB
175,"3 COLOR ZONES IN THE FACE - Ben Lustenhouwer",https://youtube.com/watch?v=Sxce77G4C_A&list=WL&index=175&pp=gAQBiAQB
176,"Quality Of Life (2022) Part 5 -NYC Graffiti Documentary-",https://youtube.com/watch?v=XQhv3OWPKJs&list=WL&index=176&pp=gAQBiAQB
177,"How to Sketch Architecture in Ink & Watercolour - Sketch 7: St Paul's Cathedral",https://youtube.com/watch?v=GWA4YLspGVc&list=WL&index=177&pp=gAQBiAQB
178,"Draw ANY Head Type with the Loomis Method - Part 2",https://youtube.com/watch?v=JC2ZppKHCqU&list=WL&index=178&pp=gAQBiAQB
179,"INTRODUCTION TO GOUACHE | A Beginners Guide - Materials, Blending, Techniques and more",https://youtube.com/watch?v=kIep1oWCB1g&list=WL&index=179&pp=gAQBiAQB
180,"7 niche design styles i'm extremely passionate about",https://youtube.com/watch?v=3W6FGKMoS7k&list=WL&index=180&pp=gAQBiAQB
